"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296200098","16:56:00","16:56:00","143","3","Oceanside","0","16:56:00","1"
"296200098","17:03:00","17:03:00","130","4","Oceanside","0","17:03:00","1"
"296200098","17:09:00","17:09:00","174","5","Oceanside","0","17:09:00","1"
"296200098","17:16:00","17:16:00","128","6","Oceanside","0","17:16:00","1"
"296200098","17:21:00","17:21:00","145","7","Oceanside","0","17:21:00","1"
"296200098","17:26:00","17:26:00","154","8","Oceanside","0","17:26:00","1"
"296200098","17:32:00","17:32:00","156","9","Oceanside","0","17:32:00","1"
"296200098","17:40:00","17:40:00","140","10","Oceanside","0","17:40:00","1"
"296200098","17:50:00","17:50:00","141","11","Oceanside","0","17:50:00","1"
"296200098","17:56:00","17:56:00","153","12","Oceanside","0","17:56:00","1"
"296200098","18:05:00","18:05:00","152","13","Oceanside","0","18:05:00","1"
"296200098","18:34:00","18:34:00","144","14","Oceanside","0","18:34:00","1"
"296200099","16:47:00","16:47:00","107","1","Laguna Niguel / Mission Viejo","0","16:47:00","1"
"296200099","17:11:00","17:11:00","143","2","Laguna Niguel / Mission Viejo","0","17:11:00","1"
"296200099","17:18:00","17:18:00","130","3","Laguna Niguel / Mission Viejo","0","17:18:00","1"
"296200099","17:24:00","17:24:00","174","4","Laguna Niguel / Mission Viejo","0","17:24:00","1"
"296200099","17:31:00","17:31:00","128","5","Laguna Niguel / Mission Viejo","0","17:31:00","1"
"296200099","17:36:00","17:36:00","145","6","Laguna Niguel / Mission Viejo","0","17:36:00","1"
"296200099","17:41:00","17:41:00","154","7","Laguna Niguel / Mission Viejo","0","17:41:00","1"
"296200099","17:47:00","17:47:00","156","8","Laguna Niguel / Mission Viejo","0","17:47:00","1"
"296200099","17:55:00","17:55:00","140","9","Laguna Niguel / Mission Viejo","0","17:55:00","1"
"296200099","18:09:00","18:09:00","141","10","Laguna Niguel / Mission Viejo","0","18:09:00","1"
"296200101","17:40:00","17:40:00","107","1","Oceanside","0","17:40:00","1"
"296200101","17:55:00","17:55:00","135","2","Oceanside","0","17:55:00","1"
"296200101","18:06:00","18:06:00","143","3","Oceanside","0","18:06:00","1"
"296200101","18:13:00","18:13:00","130","4","Oceanside","0","18:13:00","1"
"296200101","18:19:00","18:19:00","174","5","Oceanside","0","18:19:00","1"
"296200101","18:26:00","18:26:00","128","6","Oceanside","0","18:26:00","1"
"296200101","18:31:00","18:31:00","145","7","Oceanside","0","18:31:00","1"
"296200101","18:36:00","18:36:00","154","8","Oceanside","0","18:36:00","1"
"296200101","18:42:00","18:42:00","156","9","Oceanside","0","18:42:00","1"
"296200101","18:50:00","18:50:00","140","10","Oceanside","0","18:50:00","1"
"296200101","19:00:00","19:00:00","141","11","Oceanside","0","19:00:00","1"
"296200101","19:06:00","19:06:00","153","12","Oceanside","0","19:06:00","1"
"296200101","19:15:00","19:15:00","152","13","Oceanside","0","19:15:00","1"
"296200101","19:44:00","19:44:00","144","14","Oceanside","0","19:44:00","1"
"296200102","18:31:00","18:31:00","107","1","Oceanside","0","18:31:00","1"
"296200102","18:54:00","18:54:00","143","2","Oceanside","0","18:54:00","1"
"296200102","19:02:00","19:02:00","130","3","Oceanside","0","19:02:00","1"
"296200102","19:08:00","19:08:00","174","4","Oceanside","0","19:08:00","1"
"296200102","19:15:00","19:15:00","128","5","Oceanside","0","19:15:00","1"
"296200102","19:20:00","19:20:00","145","6","Oceanside","0","19:20:00","1"
"296200102","19:25:00","19:25:00","154","7","Oceanside","0","19:25:00","1"
"296200102","19:31:00","19:31:00","156","8","Oceanside","0","19:31:00","1"
"296200102","19:39:00","19:39:00","140","9","Oceanside","0","19:39:00","1"
"296200102","19:49:00","19:49:00","141","10","Oceanside","0","19:49:00","1"
"296200102","19:55:00","19:55:00","153","11","Oceanside","0","19:55:00","1"
"296200102","20:04:00","20:04:00","152","12","Oceanside","0","20:04:00","1"
"296200102","20:33:00","20:33:00","144","13","Oceanside","0","20:33:00","1"
"296300901","08:27:00","08:27:00","144","1","L.A. Union Station","0","08:27:00","1"
"296300901","08:50:00","08:50:00","133","2","L.A. Union Station","0","08:50:00","1"
"296300901","08:53:00","08:53:00","152","3","L.A. Union Station","0","08:53:00","1"
"296300901","09:05:00","09:05:00","153","4","L.A. Union Station","0","09:05:00","1"
"296300901","09:11:00","09:11:00","141","5","L.A. Union Station","0","09:11:00","1"
"296300901","09:21:00","09:21:00","140","6","L.A. Union Station","0","09:21:00","1"
"296300901","09:28:00","09:28:00","156","7","L.A. Union Station","0","09:28:00","1"
"296300901","09:35:00","09:35:00","154","8","L.A. Union Station","0","09:35:00","1"
"296300901","09:40:00","09:40:00","145","9","L.A. Union Station","0","09:40:00","1"
"296300901","09:45:00","09:45:00","128","10","L.A. Union Station","0","09:45:00","1"
"296300901","09:53:00","09:53:00","174","11","L.A. Union Station","0","09:53:00","1"
"296300901","09:58:00","09:58:00","130","12","L.A. Union Station","0","09:58:00","1"
"296300901","10:05:00","10:05:00","143","13","L.A. Union Station","0","10:05:00","1"
"296300901","10:34:00","10:34:00","107","14","L.A. Union Station","0","10:34:00","1"
"296300922","13:28:00","13:28:00","144","1","L.A. Union Station","0","13:28:00","1"
"296300922","13:52:00","13:52:00","133","2","L.A. Union Station","0","13:52:00","1"
"296300922","13:55:00","13:55:00","152","3","L.A. Union Station","0","13:55:00","1"
"296300922","14:05:00","14:05:00","153","4","L.A. Union Station","0","14:05:00","1"
"296300922","14:12:00","14:12:00","141","5","L.A. Union Station","0","14:12:00","1"
"296300922","14:23:00","14:23:00","140","6","L.A. Union Station","0","14:23:00","1"
"296300922","14:30:00","14:30:00","156","7","L.A. Union Station","0","14:30:00","1"
"296300922","14:37:00","14:37:00","154","8","L.A. Union Station","0","14:37:00","1"
"296300922","14:43:00","14:43:00","145","9","L.A. Union Station","0","14:43:00","1"
"296300922","14:48:00","14:48:00","128","10","L.A. Union Station","0","14:48:00","1"
"296300922","14:56:00","14:56:00","174","11","L.A. Union Station","0","14:56:00","1"
"296300922","15:02:00","15:02:00","130","12","L.A. Union Station","0","15:02:00","1"
"296300922","15:10:00","15:10:00","143","13","L.A. Union Station","0","15:10:00","1"
"296300922","15:39:00","15:39:00","107","14","L.A. Union Station","0","15:39:00","1"
"296400921","10:50:00","10:50:00","107","1","Oceanside","0","10:50:00","1"
"296400921","11:13:00","11:13:00","143","2","Oceanside","0","11:13:00","1"
"296400921","11:21:00","11:21:00","130","3","Oceanside","0","11:21:00","1"
"296400921","11:27:00","11:27:00","174","4","Oceanside","0","11:27:00","1"
"296400921","11:35:00","11:35:00","128","5","Oceanside","0","11:35:00","1"
"296400921","11:40:00","11:40:00","145","6","Oceanside","0","11:40:00","1"
"296400921","11:45:00","11:45:00","154","7","Oceanside","0","11:45:00","1"
"296400921","11:51:00","11:51:00","156","8","Oceanside","0","11:51:00","1"
"296400921","11:59:00","11:59:00","140","9","Oceanside","0","11:59:00","1"
"296400921","12:09:00","12:09:00","141","10","Oceanside","0","12:09:00","1"
"296400921","12:15:00","12:15:00","153","11","Oceanside","0","12:15:00","1"
"296400921","12:25:00","12:25:00","152","12","Oceanside","0","12:25:00","1"
"296400921","12:28:00","12:28:00","133","13","Oceanside","0","12:28:00","1"
"296400921","12:55:00","12:55:00","144","14","Oceanside","0","12:55:00","1"
"296400923","14:00:00","14:00:00","107","1","Oceanside","0","14:00:00","1"
"296400923","14:24:00","14:24:00","143","2","Oceanside","0","14:24:00","1"
"296400923","14:31:00","14:31:00","130","3","Oceanside","0","14:31:00","1"
